Game,Price,Paid,Savings,Compatibility,,,,,,,,,,
Sly Cooper: Thieves in Time,€14.99,€4.99,€10.00,,,,,,,,,,,
Spy Hunter,€19.99,€19.99,€0.00,,,,,,,,,,,
Street Fighter X Tekken,€24.99,€4.99,€20.00,,,,,,,,,,,
SunFlowers,€2.99,€2.99,€0.00,,,,,,,,,,,
Surge Deluxe,€4.99,€4.99,€0.00,,,,,,,,,,,
Table Football,€0.00,€0.00,€0.00,,,,,,,,,,,
TxK,€6.99,€6.99,€0.00,,,,,,,,,,,
Uncharted: Golden Abyss,€24.99,€6.99,€18.00,,,,,,,,,,,
Uncharted: Fight for Fortune,€4.99,€4.99,€0.00,,,,,,,,,,,
Worms Revolution Extreme,€14.99,€0.00,€14.99,,,,,,,,,,,
Yomawari: Night Alone,€19.99,€9.99,€10.00,,,,,,,,,,,
Total,€323.86,€207.88,€115.98,35.81%,32,TOTAL,,,,,,,,
,,,,,,,,,,,,,,
Ape Escape,€7.99,€7.99,€0.00,,,,,,,,,,,
Burnout Legends,€9.99,€9.99,€0.00,,,,,,,,,,,
Crazy Taxi: Fare Wars,€4.49,€4.49,€0.00,,,,,,,,,,,
Daxter,€7.99,€2.99,€5.00,,,,,,,,,,,
Dead or Alive Paradise,€14.99,€14.99,€0.00,,,,,,,,,,,
Everybody's Golf 2,€7.99,€2.99,€5.00,,,,,,,,,,,
Final Fantasy,€9.99,€4.99,€5.00,,,,,,,,,,,
Final Fantasy II,€9.99,€4.99,€5.00,,,,,,,,,,,
Final Fantasy III,€9.99,€4.99,€5.00,,,,,,,,,,,
Final Fantasy IV,€14.99,€7.49,€7.50,,,,,,,,,,,
Grand Theft Auto: Chinatown Wars,€11.66,€5.00,€6.66,,,,,,,,,,,
Grand Theft Auto: Vice City Stories,€11.66,€5.00,€6.66,,,,,,,,,,,
Grand Theft Auto: Liberty City Stories,€11.66,€4.99,€6.67,,,,,,,,,,,
Gravity Crash,€3.99,€3.99,€0.00,,,,,,,,,,,
Jak and Daxter: The Lost Frontier,€7.99,€3.99,€4.00,,,,,,,,,,,
LEGO Batman,€9.99,€0.00,€9.99,,,,,,,,,,,
LEGO Indiana Jones,€9.99,€0.00,€9.99,,,,,,,,,,,
LEGO Pirates of the Caribbean,€4.99,€0.00,€4.99,,,,,,,,,,,
LEGO Star Wars III: The Clone Wars,€4.99,€0.00,€4.99,,,,,,,,,,,
Prinny,€9.99,€9.99,€0.00,,,,,,,,,,,
Ratchet & Clank: Size Matters,€7.99,€4.00,€3.99,,,,,,,,,,,
Resistance: Retribution,€7.99,€2.99,€5.00,,,,,,,,,,,
Super Monkey Ball Adventure,€4.49,€4.49,€0.00,,,,,,,,,,,
Tomb Raider: Anniversary,€9.99,€3.99,€6.00,,,,,,,,,,,
Tomb Raider: Legend,€9.99,€3.99,€6.00,,,,,,,,,,,
Wipeout Pulse,€7.99,€7.99,€0.00,,,,,,,,,,,
Total,€233.75,€126.31,€107.44,45.96%,26,TOTAL,,,,,,,,
Grand Total (2009-2022: 14 Years),"€16,415.54","€8,773.19","€7,642.35",46.56%,827,TOTAL,,,,,,,,
Total Per Year,"€1,172.54",€626.66,€545.88,46.56%,62,TOTAL,,,,,,,,
Total Per Game,€18.91,€10.11,€8.80,46.56%,1,TOTAL,,,,,,,,
